score,day_q_mean_W_m2,night_q_mean_W_m2,n,bias_C,mae_C,rmse_C,r_C,amp_obs_C,amp_pred_C,amp_error_C,peak_error_C,min_error_C,cam_amplitude_scale,cam_day_max_W_m2,cam_night_max_W_m2,lai,cover_fraction,solar_absorptivity,h_out_W_m2K,h_in_W_m2K,soil_k_W_mK,soil_rho_kg_m3,soil_cp_J_kgK,concrete_k_W_mK,initial_temp_C
2.299352430155575,1.4536036920144386,1.576448130941888,3465,0.8059357123334893,1.9617229831038303,2.2262774631633553,0.7832821033154101,13.027245000000004,12.540078553385207,-0.4871664466147969,0.910415708713856,1.397582155328653,0.8389577562131896,5.907015857243777,16.428089609132112,1.1930681466228839,0.7058374138962055,0.4787346592261815,21.44857078779858,9.08205353301188,0.9374433253808447,1119.5271881101394,970.5927245617708,2.1713153099031874,39.08288070871386
2.3002370475121574,0.6993900612574795,0.26203531915726314,3465,0.823717625528103,1.8787279810416926,2.1099989016514695,0.814221077288098,13.027245000000004,11.758990694262085,-1.2682543057379192,0.26310640582125444,1.5313607115591736,0.7724468691157641,5.052432416406711,3.657178816303805,0.6687688251738864,0.8489708689579537,0.5861939174596118,21.39585107970404,8.958464866635541,0.6544669111036179,442.0518778740194,1118.8465107392856,1.468577480103474,38.43557140582126
2.3029851159653765,0.8517034953649417,0.23845375022937154,3465,0.8547846105584439,1.76586718992812,1.9656535633888192,0.8512494008615269,13.027245000000004,10.778367982822957,-2.2488770171770476,-0.7947091027157995,1.454167914461248,0.39584281647396924,7.813205877383366,3.9982171046480524,1.5114906303300413,0.730753447422344,0.5076788892006008,17.863995062375515,9.913142995311972,0.9424095940178172,442.09697181972047,1957.294007701788,1.875323397994417,37.3777558972842
2.3032579596696277,0.5267708290013728,0.37308905603875575,3465,0.9837226708358072,1.9168036156424644,2.1454979124248195,0.8206345147444647,13.027245000000004,11.975511351701282,-1.0517336482987218,0.5015141563533163,1.5532478046520382,0.48334254707016644,6.59519954669955,10.380110465997781,0.6546733211811533,0.719728905280953,0.4345954934422531,15.628404849404141,8.12991121397138,0.7543772871588927,428.1497997379229,960.6186518427804,1.6249355989879388,38.67397915635332
2.3045878539946214,1.9229435363166534,3.3781278493927003,3465,0.9064396913520212,1.5520762765932656,1.722996316069471,0.9087697645948113,13.027245000000004,9.149968080499,-3.8772769195010035,-2.455614364195057,1.4216625553059465,1.0084085831556289,3.0869010178962193,18.621117175656835,1.4785983655340609,0.9697168856554936,0.6067265283415173,18.040405261828315,9.465487087404052,0.7709710770618694,383.5732323294522,1211.6156255974297,1.9154835816458848,35.716850635804946
2.304952363906667,0.6968873453271698,1.2185537016101475,3465,1.1112080448100632,1.7068163886721806,1.8810483937094247,0.8949401927130742,13.027245000000004,10.201218532018387,-2.8260264679816167,-1.3105266235908815,1.5154998443907353,0.9684122623948892,1.5996557402402884,9.566045263633743,1.6094174763791296,0.6718149753180622,0.623067707758159,17.70668838034011,9.329665958475731,0.7327644712602871,459.3812688422377,1095.6424877012855,2.127729648689804,36.86193837640912
2.3062649592945617,4.112777912162033,5.279026629715104,3465,1.212005605412817,1.575626283923934,2.003147643859794,0.8845535197625705,13.027245000000004,15.048027102898455,2.020782102898451,3.2381489239110195,1.2173668210125683,1.2,6.269929728512081,22.348970761805646,1.6610585227895192,0.98,0.7037129107474179,21.869307300438557,10.0,0.95,356.7812347366344,930.461421550561,2.2,41.41061392391102
2.306264959401841,4.112777912162033,5.279026629715104,3465,1.2120056051422032,1.5756262848453146,2.003147644020495,0.8845535196709932,13.027245000000004,15.048027102542314,2.0207821025423094,3.2381489239110195,1.21736682136871,1.2,6.269929728512081,22.348970761805646,1.6610585227895192,0.98,0.7037129107474179,21.869307290438556,10.0,0.95,356.7812347366344,930.461421550561,2.1999999900000002,41.41061392391102
2.306264959496215,4.11277792731051,5.27902664915919,3465,1.212005605835823,1.5756262839825257,2.0031476440129485,0.8845535197947558,13.027245000000004,15.04802710322178,2.0207821032217765,3.2381489239110195,1.217366820689243,1.2,6.269929728512081,22.348970761805646,1.661058532789519,0.98,0.7037129107474179,21.869307290438556,10.0,0.95,356.7812347366344,930.461421550561,2.2,41.41061392391102
2.306264959538772,4.112777916552301,5.279026629840745,3465,1.2120056060819895,1.5756262841127848,2.0031476441187324,0.8845535197994299,13.027245000000004,15.048027102800269,2.020782102800265,3.2381489239110195,1.2173668211107547,1.2,6.269929738512081,22.348970761805646,1.6610585227895192,0.98,0.7037129107474179,21.869307290438556,10.0,0.95,356.7812347366344,930.461421550561,2.2,41.41061392391102
2.306264959542814,4.112777912770612,5.279026632041945,3465,1.2120056060837068,1.5756262841019477,2.0031476441154807,0.8845535198011553,13.027245000000004,15.048027102848895,2.020782102848891,3.2381489239110195,1.2173668210621287,1.2,6.269929728512081,22.348970771805647,1.6610585227895192,0.98,0.7037129107474179,21.869307290438556,10.0,0.95,356.7812347366344,930.461421550561,2.2,41.41061392391102
2.30626495954672,4.112777912162033,5.279026629715104,3465,1.2120056061092686,1.5756262841170894,2.003147644127014,0.8845535198014077,13.027245000000004,15.048027102798041,2.0207821027980373,3.2381489239110195,1.2173668211129822,1.2,6.269929728512081,22.348970761805646,1.6610585227895192,0.98,0.7037129107474179,21.869307290438556,10.0,0.95,356.7812347366344,930.461421550561,2.2,41.41061392391102
2.3062649595484412,4.112777912162033,5.279026629715104,3465,1.2120056061100348,1.5756262841195603,2.0031476441288114,0.8845535198011552,13.027245000000004,15.048027102797537,2.020782102797533,3.2381489239110195,1.2173668211134867,1.2,6.269929728512081,22.348970761805646,1.6610585227895192,0.98,0.7037129107474179,21.869307290438556,10.0,0.95,356.7812347366344,930.461421560561,2.2,41.41061392391102
2.3062649595510596,4.112777912162033,5.279026629715104,3465,1.2120056061108515,1.5756262841233077,2.0031476441314915,0.8845535198007412,13.027245000000004,15.048027102797125,2.0207821027971207,3.2381489239110195,1.2173668211138988,1.2,6.269929728512081,22.348970761805646,1.6610585227895192,0.98,0.7037129107474179,21.869307290438556,10.0,0.95,356.7812347466344,930.461421550561,2.2,41.41061392391102
