timestamp,T2A,T1Ka_inner_roof,G_sol,T_a,RH
2026-03-31 16:18:00,27.085717,29.726555,271.0,30.9,82.0
2026-03-31 16:19:00,27.09258,29.717784,271.0,30.9,82.0
2026-03-31 16:20:00,27.084757,29.727348,279.0,30.9,82.0
2026-03-31 16:21:00,27.096131,29.744719,262.0,31.0,82.0
2026-03-31 16:22:00,27.098051,29.749345,262.0,30.9,82.0
2026-03-31 16:23:00,27.092723,29.754928,166.0,30.9,82.0
2026-03-31 16:24:00,27.103721,29.747933,153.0,30.9,82.0
2026-03-31 16:25:00,27.109085,29.756979,105.0,30.9,83.0
2026-03-31 16:26:00,27.122554,29.783525,98.0,30.9,83.0
2026-03-31 16:27:00,27.124435,29.730237,98.0,30.8,83.0
2026-03-31 16:28:00,27.124888,29.773378,79.0,30.7,83.0
2026-03-31 16:29:00,27.120666,29.770843,70.0,30.7,83.0
2026-03-31 16:30:00,27.132756,29.780245,53.0,30.6,83.0
2026-03-31 16:31:00,27.140679,29.786154,46.0,30.6,83.0
2026-03-31 16:32:00,27.143866,29.798987,46.0,30.5,84.0
2026-03-31 16:33:00,27.141474,29.78957,46.0,30.5,84.0
2026-03-31 16:34:00,27.12447,29.783105,35.0,30.4,84.0
2026-03-31 16:35:00,27.115216,29.777403,33.0,30.3,84.0
2026-03-31 16:36:00,27.115587,29.798961,33.0,30.2,85.0
2026-03-31 16:37:00,27.103326,29.800862,38.0,30.1,85.0
2026-03-31 16:38:00,27.109499,29.815133,41.0,30.1,85.0
2026-03-31 16:39:00,27.105738,29.819576,42.0,29.9,86.0
2026-03-31 16:40:00,27.106035,29.820836,53.0,29.9,85.0
2026-03-31 16:41:00,27.120263,29.81145,58.0,29.8,85.0
2026-03-31 16:42:00,27.110576,29.802859,63.0,29.8,85.0
2026-03-31 16:43:00,27.118369,29.813499,63.0,29.7,86.0
2026-03-31 16:44:00,27.116109,29.801626,68.0,29.7,86.0
2026-03-31 16:45:00,27.112296,29.809149,63.0,29.7,86.0
2026-03-31 16:46:00,27.128819,29.816884,60.0,29.7,86.0
2026-03-31 16:47:00,27.125268,29.808533,60.0,29.7,86.0
2026-03-31 16:48:00,27.146518,29.813567,62.0,29.7,86.0
2026-03-31 16:49:00,27.136021,29.816069,63.0,29.7,86.0
2026-03-31 16:50:00,27.137614,29.826346,63.0,29.7,86.0
2026-03-31 16:51:00,27.143079,29.799494,65.0,29.7,86.0
2026-03-31 16:52:00,27.14639,29.801715,62.0,29.7,86.0
2026-03-31 16:53:00,27.144317,29.833225,60.0,29.7,86.0
2026-03-31 16:54:00,27.158326,29.786749,56.0,29.8,86.0
2026-03-31 16:55:00,27.152712,29.80319,53.0,29.8,86.0
2026-03-31 16:56:00,27.160094,29.794476,49.0,29.8,86.0
2026-03-31 16:57:00,27.161805,29.80833,46.0,29.8,86.0
2026-03-31 16:58:00,27.162338,29.808853,42.0,29.8,86.0
2026-03-31 16:59:00,27.170863,29.797679,37.0,29.8,86.0
2026-03-31 17:00:00,27.183827,29.780468,33.0,29.8,86.0
2026-03-31 17:01:00,27.176156,29.801231,30.0,29.8,86.0
2026-03-31 17:02:00,27.178554,29.824207,30.0,29.8,86.0
2026-03-31 17:03:00,27.187106,29.80753,25.0,29.9,86.0
2026-03-31 17:04:00,27.187555,29.795834,23.0,29.8,86.0
2026-03-31 17:05:00,27.188002,29.799442,23.0,29.9,86.0
2026-03-31 17:06:00,27.188017,29.800362,25.0,29.9,86.0
2026-03-31 17:07:00,27.195636,29.791772,26.0,29.9,86.0
2026-03-31 17:08:00,27.1927,29.803841,26.0,29.9,86.0
2026-03-31 17:09:00,27.196634,29.820064,26.0,29.9,86.0
