datetime,T_physics_C,T_measured_C,T_a,G_sol,T_in_used,theta_top,theta_mid,theta_bot,theta_mean,j_pr,j_rain,j_irrigation,irrigation_flag,j_eva,q_s_in,T_f,T_g_top,T_g_mid,T_g_bot,residual_C,hour,sin_hour,cos_hour,plant_type,case,is_CAM,is_C3
2026-04-02 01:09:00,28.054047790455797,24.890347,25.399999999999977,0.0,27.483575799824564,0.6606091664636621,0.6621061222861393,0.6605072612690562,0.6615817841544287,0.0,0.0,0.0,0.0,5.92594512794033e-07,4.5637759250498675,22.887384439162076,25.259474847521517,26.61204174656632,27.919545213163417,-3.163700790455799,1.15,0.29654157497557093,0.9550199444571866,CAM,CAM_main,1,0
2026-04-02 01:10:00,28.049732173398013,24.880748,25.399999999999977,0.0,27.476757024896756,0.66053123910876,0.6620270879797927,0.6604294570770641,0.6615031444314159,0.0,0.0,0.0,0.0,5.922958281253504e-07,4.583801188010057,22.887384439162076,25.25929888314397,26.61089110594787,27.91607160613262,-3.1689841733980124,1.1666666666666667,0.3007057995042732,0.9537169507482269,CAM,CAM_main,1,0
2026-04-02 01:11:00,28.045705173024373,24.883157,25.399999999999977,0.0,27.475557019744315,0.6604534383112179,0.6619481835953427,0.6603517825147454,0.6614246340184521,0.0,0.0,0.0,0.0,5.919297096660978e-07,4.561185226240468,22.887384439162076,25.2590810333964,26.60970029553721,27.912601377685917,-3.1625481730243727,1.1833333333333333,0.30486429902801077,0.9523957996432784,CAM,CAM_main,1,0
2026-04-02 01:12:00,28.04164554156887,24.880196,25.399999999999977,0.0,27.474260021041175,0.6603757638783572,0.6618694087702255,0.6602742370068362,0.6613462525475808,0.0,0.0,0.0,0.0,5.914997919466364e-07,4.539084164221549,22.887384439162076,25.25882355004103,26.608470452776658,27.90913416302567,-3.1614495415688673,1.2,0.3090169943749474,0.9510565162951535,CAM,CAM_main,1,0
2026-04-02 01:13:00,28.037786281457613,24.869987,25.30000000000001,0.0,27.474497914722804,0.6602974324190352,0.6617907631416184,0.6601968199937394,0.6612679548292456,0.0,0.0,0.0,0.0,7.38828883134854e-07,4.506306933878477,22.87899620010677,25.252839223382296,26.607202717433438,27.90566959955237,-3.167799281457615,1.2166666666666668,0.31316380648374953,0.949699126201877,CAM,CAM_main,1,0
2026-04-02 01:14:00,28.033860246209144,24.876766,25.30000000000001,0.0,27.47215672109826,0.6602193809915973,0.6617122460612088,0.6601195309307184,0.6611897468387248,0.0,0.0,0.0,0.0,7.298354161181064e-07,4.493628200887088,22.86431078349858,25.24726493877978,26.6058947249835,27.902207334118827,-3.1570942462091445,1.2333333333333334,0.31730465640509214,0.9483236552061993,CAM,CAM_main,1,0
2026-04-02 01:15:00,28.029978898122295,24.865521,25.30000000000001,0.0,27.468618608903796,0.6601417162394878,0.6616338540522584,0.6600423692869887,0.6611116715818702,0.0,0.0,0.0,0.0,7.231268497772575e-07,4.4908823137479885,22.851993365147905,25.243108519410498,26.604514622288434,27.89874702740559,-3.1644578981222935,1.25,0.3214394653031616,0.9469301294951057,CAM,CAM_main,1,0
2026-04-02 01:16:00,28.026069438116224,24.871559,25.30000000000001,0.0,27.469173590380933,0.6600642733030808,0.6615555813389561,0.6599653345414377,0.6610337276643272,0.0,0.0,0.0,0.0,7.172007949153992e-07,4.455166781882326,22.84166097372895,25.239437301305372,26.603012142774446,27.895288340608715,-3.1545104381162226,1.2666666666666666,0.32556815445715664,0.9455185755993168,CAM,CAM_main,1,0
2026-04-02 01:17:00,28.022458081612456,24.880843,25.30000000000001,0.0,27.473277356806477,0.6599870119889508,0.6614774253998617,0.6598884261540999,0.6609559142008522,0.0,0.0,0.0,0.0,7.117721882325382e-07,4.393445798447829,22.83299290928983,25.23607440327828,26.60136750672666,27.891830847962524,-3.141615081612457,1.2833333333333332,0.32969064526278724,0.9440890203927842,CAM,CAM_main,1,0
2026-04-02 01:18:00,28.018688632544468,24.864827,25.30000000000001,0.0,27.4660635771761,0.6599099137432174,0.6613993868419894,0.6598116435010286,0.6608782304594978,0.0,0.0,0.0,0.0,7.067268124243435e-07,4.421000442946934,22.825720519411448,25.23294899980567,26.599586018482,27.888373901021453,-3.1538616325444693,1.3,0.3338068592337709,0.9426414910921784,CAM,CAM_main,1,0
2026-04-02 01:19:00,28.014605197410617,24.864011,25.399999999999977,0.0,27.453058014548503,0.6598337367836176,0.6613214673520038,0.659734985832721,0.6608007198698395,0.0,0.0,0.0,0.0,5.584089417902966e-07,4.492377462896911,22.887384439162076,25.238331433381973,26.597681872000237,27.884916617180636,-3.1505941974106157,1.3166666666666667,0.337916718003327,0.9411760152563706,CAM,CAM_main,1,0
2026-04-02 01:20:00,28.010463278934594,24.866465,25.399999999999977,0.0,27.447120978967973,0.6597575230074046,0.6612436689214554,0.6596584523043856,0.6607233731385536,0.0,0.0,0.0,0.0,5.660375036318171e-07,4.506738399732967,22.887384439162076,25.243081523520118,26.595675020757994,27.881458009211258,-3.1439982789345926,1.3333333333333333,0.3420201433256687,0.9396926207859084,CAM,CAM_main,1,0
2026-04-02 01:21:00,28.006475701370107,24.868092,25.399999999999977,0.0,27.441498415087267,0.6596811977371568,0.6611659959457219,0.6595820420471913,0.6606461482839749,0.0,0.0,0.0,0.0,5.689886216583901e-07,4.5198182902627195,22.887384439162076,25.2449243318664,26.5936273290838,27.877997137205,-3.138383701370106,1.35,0.34611705707749296,0.9381913359224842,CAM,CAM_main,1,0
2026-04-02 01:22:00,28.002366543989183,24.853414,25.30000000000001,0.0,27.437571146468883,0.6596041348976549,0.6610884545927325,0.6595057542369448,0.6605690017662971,0.0,0.0,0.0,0.0,7.183107775944375e-07,4.518363180162396,22.878996698746676,25.24019506665661,26.591628589597747,27.874533234824924,-3.148952543989182,1.3666666666666667,0.35020738125946743,0.9366721892483976,CAM,CAM_main,1,0
2026-04-02 01:23:00,27.9984762649259,24.855913,25.30000000000001,0.0,27.43375803949209,0.659527310418466,0.6610110472427901,0.6594295881597484,0.6604919402220993,0.0,0.0,0.0,0.0,7.106687950755521e-07,4.517745803470461,22.864312047832925,25.2354556667309,26.589710026758553,27.87106589247503,-3.142563264925897,1.3833333333333333,0.3542910379977158,0.9351352096860117,CAM,CAM_main,1,0
2026-04-02 01:24:00,27.99435255066362,24.851148,25.30000000000001,0.0,27.426620459743788,0.6594508467874803,0.660933770292355,0.6593535432871507,0.6604150070282089,0.0,0.0,0.0,0.0,7.049101610810801e-07,4.541856727358663,22.8519951344515,25.2318860492133,26.58783081575001,27.867595271333755,-3.143204550663622,1.4,0.35836794954530027,0.9335804264972017,CAM,CAM_main,1,0
