trial,score,n,bias_C,mae_C,rmse_C,amp_model_C,amp_measured_C,amp_error_C,peak_error_C,min_error_C,H_g,H_slab,h_in,rho_g,theta_sat,k_theta_sat,lambda_dry,lambda_sat,LAI,cover_fraction,tau_f,error
24,9.645120700118522,3459,0.10527085160653225,1.6188401808029806,2.0077178506851117,6.227178282393254,13.027245000000004,-6.80006671760675,-5.246548483275333,1.553518234331417,0.06739197814756791,0.042749677224818594,7.841121382069295,563.7873188092378,0.6815834239562375,1.254051876283724e-06,0.232385762489371,0.3669385953541586,2.10192912377578,0.5362008043544446,0.08596798324278566,
43,9.832215278230928,3459,5.843799080192266,5.848213140040134,6.58010602276395,13.465594087416548,13.027245000000004,0.4383490874165439,4.887864900355609,4.449515812939065,0.10230122267790476,0.047600697438603845,6.413146334364108,508.8946939568611,0.8447699465735926,2.4511618839017207e-05,0.10304730707681681,0.6566821907575537,1.386858464259302,0.6345012376895709,0.07980438154943616,
54,10.004993422401917,3459,3.336276639335346,3.7793492346636737,4.217204714314612,7.341328713739074,13.027245000000004,-5.68591628626093,-0.8214415339955536,4.864474752265377,0.07492762533507703,0.09380032544137573,6.862074043100311,263.4280937453747,0.7516566906828814,1.918760979943964e-06,0.06719870822158604,0.9919683668032214,1.4619524580366816,0.5345210434524716,0.19961929788943417,
21,10.03108510427446,3459,1.8204535573673994,2.5939086109000313,2.946910960635789,6.60530186321148,13.027245000000004,-6.421943136788524,-3.6040907596998437,2.8178523770886805,0.07004743458904698,0.06164380340136501,7.13434580849045,629.1429308120759,0.7359338680646165,2.323026625293371e-05,0.06720925250201433,0.6941584338614597,1.7777576898578447,0.41353844225045194,0.08508489926597816,
6,10.438861510753496,3459,0.4193988067332726,1.913120957294932,2.290448778794551,5.756198903596612,13.027245000000004,-7.271046096403392,-5.383267967626878,1.8877781287765139,0.09403645155109838,0.059418683165375505,6.334300165599597,245.704589119999,0.684359022060792,9.712079339787159e-06,0.19661789978150843,0.7021888851849512,2.0004980576072433,0.7308309920003544,0.18839485016449897,
33,10.76654410939509,3459,0.42161013005167497,1.8741331084245396,2.2166680157713543,5.26996181362648,13.027245000000004,-7.757283186373524,-5.34818102627402,2.409102160099504,0.0832475305736221,0.06793228855253874,5.4608738003404325,425.6369344911677,0.8791770170019764,1.5155886996554735e-05,0.20272443251687444,0.7296747532180898,2.283101600673173,0.4218401531006737,0.07927589147502763,
4,11.157230505771611,3459,0.17085653052538363,1.9831097319960542,2.3961416249300247,5.156353083690817,13.027245000000004,-7.870891916309187,-5.819026988210581,2.051864928098606,0.07352298530174345,0.060216685845685604,3.110506552216428,241.06310750767167,0.7927114778677802,2.1635783270058337e-06,0.254246058457928,0.5997215350978646,2.1155529332983236,0.7701590612013494,0.12809166034551028,
53,11.23306710049075,3459,1.4203972691329998,2.885154951201604,3.20960779446753,5.536891894838504,13.027245000000004,-7.4903531051615,-3.9216563223124155,3.5686967828490843,0.07912862542936469,0.08264706920945344,8.742131893489937,417.2519969646441,0.9228656731614049,7.366365298151242e-06,0.3065795466617793,0.5224726364732195,1.5479888295035247,0.6688466246027466,0.07624492897401765,
42,11.723984815977733,3459,2.246889667737797,3.125720266204317,3.5433021979455126,5.440651548354708,13.027245000000004,-7.586593451645296,-3.664857858817598,3.921735592827698,0.09920728556834085,0.07821837138254656,2.9715866945912772,223.10887273737308,0.7050599686640957,2.8029734049279652e-05,0.19298258631296203,0.8772647586731264,1.7818941815832205,0.6934478899751824,0.08628256366626243,
36,11.766554309668503,3459,0.5611709073370564,2.093529523614658,2.4212294949762434,4.586519034601565,13.027245000000004,-8.440725965398439,-5.881353036103363,2.559372929295076,0.1043315772462161,0.07883201770027326,9.58515461003265,235.68493129200942,0.9051601037572348,8.73042477987427e-06,0.09535728671718265,0.7206063999753766,1.866363820679263,0.35738161153316167,0.16357949046043663,
2,12.062122585259562,3459,0.879541643839787,2.4987967454834514,2.8968149346092944,4.83099204697254,13.027245000000004,-8.196252953027464,-5.77881231945419,2.4174406335732748,0.10133824944243008,0.07328988400604985,8.493473712802054,388.40467344884564,0.718171616535433,6.594607868596662e-06,0.07850700427021085,0.9121049375940657,1.7738294785075102,0.8048526440512243,0.1386314920324671,
52,12.131245902687654,3459,1.688578665658394,2.910969475170783,3.2250053302369106,4.661125686892319,13.027245000000004,-8.366119313107685,-4.163781209078664,4.202338104029021,0.06718337270278568,0.0882691288571906,6.919503954066902,485.10005356310893,0.8510609766054065,1.339369067358258e-05,0.07685145969921972,0.5432867079460899,1.6171966399448536,0.5530738899783956,0.26111971832179665,
56,12.162840385894828,3459,0.5146926954251698,2.285361984375055,2.6358343694707447,4.273359626065826,13.027245000000004,-8.753885373934178,-5.666471169985712,3.087414203948466,0.09410025853690886,0.0900101078696445,2.469884605060916,524.2343464070802,0.7820266098582106,6.561473551922404e-06,0.24968969874988345,1.0258520933644557,2.3737827384337615,0.5229369472927431,0.23343837435947906,
37,12.33070341942873,3459,-0.39072229971728567,1.9506267677975777,2.455745316097367,4.361936287247147,13.027245000000004,-8.665308712752857,-6.946574964422794,1.718733748330063,0.09626997555981606,0.047151926900806745,5.397658695287685,387.8876397219098,0.7405782174327474,2.273264893515313e-05,0.2865752702751396,0.3384707287968884,2.394958918323874,0.8775200145846471,0.12097710946600974,
27,12.475375478247027,3459,-0.27395095382621176,1.9870823314801567,2.4492352519276452,4.1765564929449965,13.027245000000004,-8.850688507055008,-6.995042298735385,1.855646208319623,0.0574627059963797,0.053021060384467876,5.951900064099917,227.7857943647465,0.9000375661365678,1.193311916083511e-06,0.328204142015238,0.3292905132639004,2.1340774177161794,0.8915918863565702,0.29489267014664816,
23,12.54773018205357,3459,0.7350720254182355,2.5211404764006087,2.9046912813556447,4.39412751659745,13.027245000000004,-8.633117483402554,-6.165356099206022,2.467761384196532,0.06663203709832169,0.06480771929492901,6.6511344759500926,587.8373082747253,0.8309321472016177,4.068349305580634e-06,0.16851337258808297,0.590705669098808,1.808282743485956,0.8704943790513949,0.16347422051907495,
30,12.908555549931565,3459,1.9230177895573652,3.1711049254167616,3.5748240264484115,4.38171018088218,13.027245000000004,-8.645534819117824,-4.572638198061512,4.072896621056312,0.10244289633576702,0.09372610146536337,5.5877386405506675,334.3297663522037,0.8106304369490009,1.792366152055316e-05,0.24925032876242958,0.8935134623576619,1.6056278693117583,0.7297505775605724,0.12203890354561543,
40,12.994527566122704,3459,0.8068159191481068,2.7770458088480887,3.105847849078177,4.076575939413942,13.027245000000004,-8.950669060586062,-6.05499380490501,2.895675255681052,0.09504819268208381,0.09458465726292103,8.062921392387235,508.1167684699595,0.9013940655966148,1.1463265150865133e-06,0.11851681210852605,0.3499389434445145,1.5577026833280772,0.7971128769973066,0.20750296114409966,
10,13.484422051829936,3459,6.183555163896438,6.2307406338770255,6.827959052167933,7.265434963515645,13.027245000000004,-5.761810036484359,1.4920383882028858,7.253848424687245,0.10309488322747573,0.09314355180307055,7.447510637391371,304.9588818859742,0.9407529132043171,1.413544588698445e-05,0.2678981548561087,0.609489201715031,1.1628106551367703,0.40783457729209954,0.2756505991359604,
16,13.852294883709181,3459,-0.3566657213164399,2.255219605545111,2.7232080081063796,3.1427427675889703,13.027245000000004,-9.884502232411034,-7.588362382257529,2.296139850153505,0.07354611419312193,0.087234230734931,8.370137512546567,329.0552796266762,0.9358698185209234,2.6898057775720007e-06,0.2093665674771972,0.45477207245408224,2.2912740690832374,0.44876469054921087,0.06122765484808225,
26,13.97295107267214,3459,8.983110546009465,8.983110546009465,9.63605046986094,12.55376989287845,13.027245000000004,-0.47347510712155483,6.1080704358742395,6.581545542995794,0.07468152284160141,0.048849332271403714,5.788473014688956,591.252322850266,0.9053394880466618,1.159359001050561e-06,0.11263453878299198,0.4393958968835168,1.12395887891476,0.6927395910456635,0.15406560642579809,
39,14.014930374844116,3459,6.26899816557373,6.481314243650965,7.362097592485203,6.880726072781272,13.027245000000004,-6.146518927218732,0.4985487460235589,6.645067673242291,0.0649102113606449,0.0932978670348164,7.0782868342836665,196.99647393250723,0.6516289502386101,1.1920789171226813e-06,0.235718301517841,0.8911854486875322,1.1055397950665604,0.8596453057538437,0.0643079850383151,
22,14.36300915144391,3459,6.977759849012086,7.079872524557825,7.9243732658741575,7.82178530379656,13.027245000000004,-5.2054596962034445,1.7669804971268803,6.972440193330325,0.07595571596581518,0.09746739341073865,6.566361702492169,618.5209141520993,0.8913082746838912,4.902067620325983e-06,0.28758140028313434,0.2642694271815902,0.8855447945017494,0.8476571689296417,0.24920427208129042,
3,14.419527556858696,3459,-0.3788197607464403,2.3758103798581294,2.8722313583561125,2.783710918791769,13.027245000000004,-10.243534081208235,-7.898652220932277,2.344881860275958,0.10353490121974515,0.09198408409916484,8.116259725126977,271.48019269042476,0.7900163011181103,1.1606558734739089e-06,0.10474395269958886,0.7964391625939637,1.966095665043289,0.930505839460526,0.131456339534538,
17,14.621216763648636,3459,-0.40762275253321856,2.4341720380173317,2.92067336748896,2.577573043972052,13.027245000000004,-10.449671956027952,-7.819421951512211,2.630250004515741,0.07675485300015189,0.0994281673041878,9.079256763166768,531.8457691447661,0.9172377472635574,2.087992918728688e-05,0.21046892451207022,0.5027432414646344,2.0124211345886795,0.7469967579006567,0.14341443221842753,
0,14.710153019912955,3459,-0.6139718765908746,2.3971237270181094,2.9457619786329325,2.6493315242517497,13.027245000000004,-10.377913475748255,-8.058200604502375,2.31971287124588,0.1,0.1,8.0,400.0,0.9,5e-06,0.12,0.66,2.4,0.7,0.07,
48,14.893371025826674,3459,6.589520141932535,6.61078064280538,7.744625908655312,16.972809721706255,13.027245000000004,3.9455647217062513,7.077460215241544,3.1318954935352927,0.09213462833625427,0.02610121326700531,8.530974108425834,582.5775710800424,0.7616784719574644,1.686183666817678e-06,0.23424371830407345,0.3457380446919155,1.320362913833029,0.9250575085405834,0.2988661181459093,
5,15.016487071815696,3459,-0.53057229296807,2.594515958817846,3.1340552016154115,2.584676728707109,13.027245000000004,-10.442568271292895,-8.286098231450595,2.1564700398423007,0.09661299006976004,0.08535732681226016,4.793566221756483,315.5142088472147,0.8547486511924927,1.608538143835484e-06,0.11797337871778141,0.2558898158008044,2.0377714417536352,0.7489105139552192,0.2262913446565838,
34,16.5620063038248,3459,10.54493198820597,10.54493198820597,11.13629508790608,12.651787382225052,13.027245000000004,-0.375457617774952,8.564530980482331,8.939988598257283,0.05938545059553842,0.0743397463780396,5.058170556718226,543.9310655866664,0.8513694239925778,3.1104514301602763e-06,0.32052629873484534,0.8600257176565219,1.1599093995472987,0.5685152106632324,0.12860999505106574,
51,17.08185460251179,3459,6.106514766900654,6.1081822624089686,6.974657294253799,19.523156486690425,13.027245000000004,6.495911486690421,9.612484546260006,3.1165730595695855,0.07846634670952006,0.036300473035993014,3.037876543962379,606.3387024134211,0.6633947266922837,2.207755926707992e-06,0.1446972057912132,0.6421580339212691,1.6969567941251529,0.6459739855103999,0.07102883363922051,
