reference,candidate,n,bias_C,mae_C,rmse_C,corr,amp_reference_C,amp_candidate_C,amp_error_C,peak_time_reference,peak_time_candidate,peak_lag_min
T1Ke,T_s_in,3459,-0.41827003617714986,1.7683101775823247,2.142058384646811,0.5030219778825782,8.933400999999996,2.401664588475171,-6.531736411524825,2026-04-02 12:13:00,2026-04-01 16:19:00,-1194.0
T1Ke,T_in_used,3459,-0.7407912691764443,1.1291329251845084,1.6189713298573611,0.8475609432781572,8.933400999999996,4.841754645146352,-4.091646354853644,2026-04-02 12:13:00,2026-04-01 15:11:00,-1262.0
T2A,T_f,3459,7.4159578136110635,13.910658814442135,19.680038631491268,-0.14084241486721555,2.5753900000000023,117.55520512661855,114.97981512661855,2026-04-01 17:18:00,2026-04-02 10:16:00,1018.0
T2A,T_g_top,3459,3.2532499919959106,3.7070193281111634,4.801626438586527,-0.29013020454769817,2.5753900000000023,24.26067555025935,21.685285550259348,2026-04-01 17:18:00,2026-04-02 09:15:00,957.0
T2A,T_g_mid,3459,2.787384823341599,2.797137466435656,3.2529708968336712,-0.21772420152949748,2.5753900000000023,7.733095851520602,5.1577058515206,2026-04-01 17:18:00,2026-04-02 09:26:00,968.0
T2A,T_g_bot,3459,2.29347888374182,2.29347888374182,2.3610493165854494,0.5211758673499782,2.5753900000000023,2.0213426320387313,-0.554047367961271,2026-04-01 17:18:00,2026-04-02 12:45:00,1167.0
T2A,T_s_in,3459,2.1212257073903555,2.1212257073903555,2.1572487063602788,0.7975308765074771,2.5753900000000023,2.401664588475171,-0.17372541152483123,2026-04-01 17:18:00,2026-04-01 16:19:00,-59.0
T2A,T_in_used,3459,1.7987044743910605,1.7987044743910605,1.9832145867430286,0.7801308437874487,2.5753900000000023,4.841754645146352,2.26636464514635,2026-04-01 17:18:00,2026-04-01 15:11:00,-127.0
T2A2,T_f,3459,6.609022342665703,13.140750428738157,19.199350883342433,0.10597359053019624,6.622347000000001,117.55520512661855,110.93285812661854,2026-04-02 12:36:00,2026-04-02 10:16:00,-140.0
T2A2,T_g_top,3459,2.446314521050551,3.136138789394845,4.113053223486343,0.25767328823286845,6.622347000000001,24.26067555025935,17.63832855025935,2026-04-02 12:36:00,2026-04-02 09:15:00,-201.0
T2A2,T_g_mid,3459,1.9804493523962394,2.1001521158642475,2.630098302007926,0.42078719568436734,6.622347000000001,7.733095851520602,1.1107488515206008,2026-04-02 12:36:00,2026-04-02 09:26:00,-190.0
T2A2,T_g_bot,3459,1.4865434127964603,1.9814657644008313,2.234288895220606,0.3213009380232795,6.622347000000001,2.0213426320387313,-4.60100436796127,2026-04-02 12:36:00,2026-04-02 12:45:00,9.0
T2A2,T_s_in,3459,1.3142902364449953,1.8875059706758142,2.1030183455915066,0.3576410865405704,6.622347000000001,2.401664588475171,-4.22068241152483,2026-04-02 12:36:00,2026-04-01 16:19:00,-1217.0
T2A2,T_in_used,3459,0.9917690034457008,1.369085396276962,1.5478836816443953,0.7372855445698901,6.622347000000001,4.841754645146352,-1.780592354853649,2026-04-02 12:36:00,2026-04-01 15:11:00,-1285.0
T1Tb,T_f,3459,4.734487582041246,13.393781089555727,19.007766818767127,0.006896356170753107,13.027245000000004,117.55520512661855,104.52796012661854,2026-04-01 14:56:00,2026-04-02 10:16:00,1160.0
T1Tb,T_g_top,3459,0.5717797604260926,3.796184774927274,4.6719061916010585,0.02003557928241619,13.027245000000004,24.26067555025935,11.233430550259346,2026-04-01 14:56:00,2026-04-02 09:15:00,1099.0
T1Tb,T_g_mid,3459,0.10591459177178164,2.925929556472933,3.4352120880361494,0.14044680818542973,13.027245000000004,7.733095851520602,-5.294149148479402,2026-04-01 14:56:00,2026-04-02 09:26:00,1110.0
T1Tb,T_g_bot,3459,-0.3879913478279976,2.7019547087754914,3.2226282280355796,0.36357440891954423,13.027245000000004,2.0213426320387313,-11.005902367961273,2026-04-01 14:56:00,2026-04-02 12:45:00,1309.0
T1Tb,T_s_in,3459,-0.5602445241794627,2.551280718361247,3.091098121335237,0.5803422762418351,13.027245000000004,2.401664588475171,-10.625580411524833,2026-04-01 14:56:00,2026-04-01 16:19:00,83.0
T1Tb,T_in_used,3459,-0.8827657571787572,1.8398795048194492,2.419711674041874,0.9187482438305562,13.027245000000004,4.841754645146352,-8.185490354853652,2026-04-01 14:56:00,2026-04-01 15:11:00,15.0
T1Ka,T_f,3459,5.617748709534741,13.510870278909083,19.093549422778842,-0.06435047027854877,4.846575000000001,117.55520512661855,112.70863012661854,2026-04-01 15:14:00,2026-04-02 10:16:00,1142.0
T1Ka,T_g_top,3459,1.4550408879195875,2.9773927129786033,3.9572616988967106,-0.14682670351993574,4.846575000000001,24.26067555025935,19.41410055025935,2026-04-01 15:14:00,2026-04-02 09:15:00,1081.0
T1Ka,T_g_mid,3459,0.9891757192652767,1.7034182686916848,2.1559964902854563,-0.04173412055136399,4.846575000000001,7.733095851520602,2.8865208515206007,2026-04-01 15:14:00,2026-04-02 09:26:00,1092.0
T1Ka,T_g_bot,3459,0.49526977966549757,1.0480798866703716,1.1972417947771323,0.4866815579821972,4.846575000000001,2.0213426320387313,-2.82523236796127,2026-04-01 15:14:00,2026-04-02 12:45:00,1291.0
T1Ka,T_s_in,3459,0.32301660331403254,0.824179340451325,0.921576117792919,0.7862836551969219,4.846575000000001,2.401664588475171,-2.4449104115248304,2026-04-01 15:14:00,2026-04-01 16:19:00,65.0
T1Ka,T_in_used,3459,0.0004953703147381378,0.0058402702738385255,0.00880783362297578,0.9999746521394475,4.846575000000001,4.841754645146352,-0.004820354853649178,2026-04-01 15:14:00,2026-04-01 15:11:00,-3.0
