reference,candidate,n,bias_C,mae_C,rmse_C,corr,amp_reference_C,amp_candidate_C,amp_error_C,peak_time_reference,peak_time_candidate,peak_lag_min,top_col,H_slab_m
T1Tb,forced_slab_from_T1Ta,3459,-0.3617216121199731,1.256505951610622,1.4225571224876292,0.9560769660056991,13.027245000000004,15.556402058871129,2.5291570588711245,2026-04-01 14:56:00,2026-04-01 14:07:00,-49.0,T1Ta,0.07499999999999998
T1Tb,forced_slab_from_T1Ta,3459,-0.3619168086849461,1.141218011137357,1.2880283240642683,0.9640378681070951,13.027245000000004,15.219028725217925,2.1917837252179204,2026-04-01 14:56:00,2026-04-01 14:09:00,-47.0,T1Ta,0.07999999999999999
T1Tb,forced_slab_from_T1Ta,3459,-0.36214073506283206,1.0268098924646525,1.1569593762829617,0.9711532831798271,13.027245000000004,14.886091522895583,1.858846522895579,2026-04-01 14:56:00,2026-04-01 14:11:00,-45.0,T1Ta,0.08499999999999998
T1Tb,forced_slab_from_T1Ta,3459,-0.3624702140817655,0.91447928549467,1.0314078594076455,0.9773064412171106,13.027245000000004,14.558787195229002,1.5315421952289974,2026-04-01 14:56:00,2026-04-01 14:15:00,-41.0,T1Ta,0.08999999999999998
T1Tb,forced_slab_from_T1Ta,3459,-0.3629782548320289,0.8120505384355055,0.9142276130124598,0.9823926534276444,13.027245000000004,14.235594531833215,1.2083495318332105,2026-04-01 14:56:00,2026-04-01 14:18:00,-38.0,T1Ta,0.09499999999999999
T1Tb,forced_slab_from_T1Ta,3459,-0.3637336830205597,0.7188372265895203,0.809415938353949,0.9863200517937976,13.027245000000004,13.916502865429834,0.8892578654298298,2026-04-01 14:56:00,2026-04-01 14:22:00,-34.0,T1Ta,0.09999999999999998
T1Tb,forced_slab_from_T1Ta,3459,-0.3648008937355297,0.6342946818712988,0.7224293767183275,0.9890101248059987,13.027245000000004,13.60210128120832,0.5748562812083158,2026-04-01 14:56:00,2026-04-01 14:26:00,-30.0,T1Ta,0.10499999999999998
T1Tb,forced_slab_from_T1Ta,3459,-0.3662396359270141,0.5650339946041578,0.6600361822687245,0.9903980187368564,13.027245000000004,13.331014643347999,0.3037696433479944,2026-04-01 14:56:00,2026-04-01 15:06:00,10.0,T1Ta,0.10999999999999997
T1Tb,forced_slab_from_T1Ta,3459,-0.3681047184852118,0.5289314299954418,0.6288847491645921,0.9904325883418112,13.027245000000004,13.092921176407174,0.0656761764071696,2026-04-01 14:56:00,2026-04-01 15:09:00,13.0,T1Ta,0.11499999999999998
T1Tb,forced_slab_from_T1Ta,3459,-0.370445584164034,0.5167848428734463,0.6325464057846575,0.989076204438256,13.027245000000004,12.850762203756801,-0.17648279624320296,2026-04-01 14:56:00,2026-04-01 15:12:00,16.0,T1Ta,0.11999999999999998
T1Tb,forced_slab_from_T1Ke,3459,-0.17370975362077146,0.9949072284464933,1.3254484764701764,0.9605788839068645,13.027245000000004,8.558681021889186,-4.468563978110819,2026-04-01 14:56:00,2026-04-02 12:15:00,1279.0,T1Ke,0.01
T1Tb,forced_slab_from_T1Ke,3459,-0.18795263066678794,0.9974422978809101,1.3353531093423154,0.9626055598504462,13.027245000000004,8.341870734454119,-4.685374265545885,2026-04-01 14:56:00,2026-04-02 12:16:00,1280.0,T1Ke,0.015
T1Tb,forced_slab_from_T1Ke,3459,-0.20122793826512794,0.998651284784168,1.344869028159868,0.9647248412300039,13.027245000000004,8.10860610674581,-4.918638893254194,2026-04-01 14:56:00,2026-04-02 12:16:00,1280.0,T1Ke,0.019999999999999997
T1Tb,forced_slab_from_T1Ke,3459,-0.2136177460747791,0.9994324657817072,1.3544703192868814,0.9668515321050357,13.027245000000004,7.956060396724354,-5.0711846032756505,2026-04-01 14:56:00,2026-04-02 12:32:00,1296.0,T1Ke,0.024999999999999998
T1Tb,forced_slab_from_T1Ke,3459,-0.22519936034426596,1.0007157730306573,1.3646334148371901,0.9688994614282009,13.027245000000004,7.827373695987546,-5.199871304012458,2026-04-01 14:56:00,2026-04-02 12:32:00,1296.0,T1Ke,0.03
T1Tb,forced_slab_from_T1Ke,3459,-0.23604845048922196,1.0047434057784161,1.375872717244691,0.9707746183458872,13.027245000000004,7.70322091306025,-5.324024086939755,2026-04-01 14:56:00,2026-04-02 12:33:00,1297.0,T1Ke,0.034999999999999996
T1Tb,forced_slab_from_T1Ke,3459,-0.24624188168686997,1.0124293410384495,1.3887294680121434,0.9723741829191724,13.027245000000004,7.579943891147025,-5.4473011088529795,2026-04-01 14:56:00,2026-04-02 12:34:00,1298.0,T1Ke,0.039999999999999994
T1Tb,forced_slab_from_T1Ke,3459,-0.25585665984583167,1.023870653764871,1.4037431093121933,0.973588478378388,13.027245000000004,7.463378265049755,-5.563866734950249,2026-04-01 14:56:00,2026-04-02 12:37:00,1301.0,T1Ke,0.045
T1Tb,forced_slab_from_T1Ke,3459,-0.26496749801238956,1.0391972534111455,1.4214198884716187,0.9743042109737935,13.027245000000004,7.341384210915919,-5.685860789084085,2026-04-01 14:56:00,2026-04-02 12:38:00,1302.0,T1Ke,0.049999999999999996
