window,top_col,target_col,T_in_col,n,bias_C,mae_C,rmse_C,max_abs_error_C,sim_amp_C,obs_amp_C,amp_err_C,corr,score
CAM_WINDOW,T3Kc,T3Ke,T1Ka,3464,-0.19751218526517675,0.5389869554483242,0.6853120069556526,1.750158210662157,6.650991174704927,7.845507999999999,-1.1945168252950715,0.9645609342645612,1.2825704196031884
CAM_WINDOW,T2Kc,T1Ke,T1Ka,3464,0.09750019513957953,0.9460383555794963,1.2457103448395241,4.661770903987154,9.140650175528378,8.933400999999996,0.20724917552838207,0.8644103370588354,1.3493349326037152
CAM_WINDOW,T2A,T1Kd,T1Ka,3464,-1.2847299743363978,1.2847299743363978,1.3806641835298061,2.77316323112667,2.8532513261578174,2.8747739999999986,-0.021522673842181206,0.7422194475710453,1.3914255204508967
CAM_WINDOW,T1Kd,T1A,T1Ka,3464,0.49951103981457556,0.5125517922367037,0.6069872607805921,1.5271002446243145,2.791421577074402,4.474755000000002,-1.6833334229255996,0.9508854401322138,1.4486539722433918
CAM_WINDOW,T2A2,T3Kd,T1Ka,3464,-0.8833054419019433,0.8925160529371617,0.9985764791274707,1.678322090920691,4.823563953878306,3.8337749999999993,0.9897889538783069,0.9858793128340041,1.4934709560666242
CAM_WINDOW,T3Ke,T3Ka,T1Ka,3464,-0.17965713434243558,0.5837819513103546,0.6436868097969745,1.207709533956546,6.372140471123885,4.655486,1.716654471123885,0.9749668716640343,1.502014045358917
CAM_WINDOW,T2Kd,T3Ke,T1Ka,3464,0.0380015935655096,0.6723256948741985,0.9005897124134752,2.3626179387125674,9.122626235480482,7.845507999999999,1.2771182354804829,0.9273576561440381,1.5391488301537166
CAM_WINDOW,T1Ta2,T2A,T1Ka,3464,0.21231828916742798,0.736410391132902,0.86360194728307,1.903860992269859,3.9454582819643065,2.5753900000000023,1.3700682819643042,0.7117817934766308,1.5486360882652221
CAM_WINDOW,T1Ta2,T1A,T1Ka,3464,-1.115184166445312,1.161397416026254,1.2889910495985666,2.0985352196366236,3.9454582819643065,4.474755000000002,-0.5292967180356953,0.8355159774707913,1.5536394086164143
CAM_WINDOW,T3Ka,T1Kd,T1Ka,3464,0.48187126200979996,0.679610273835818,0.8135363757446592,1.7143225514886247,4.356725342338507,2.8747739999999986,1.4819513423385082,0.8873552263689826,1.5545120469139133
CAM_WINDOW,T1Ke,T3Ka,T1Ka,3464,-0.2416473346895711,0.6515672321367357,0.7412354126440589,1.5174123445910546,6.3792292932772625,4.655486,1.7237432932772627,0.962508266888827,1.6031070592826904
CAM_WINDOW,T2A2,T3Ka,T1Ka,3464,-1.418776116984742,1.4204863338874403,1.5295487565678783,2.6785316045295673,4.823563953878306,4.655486,0.16807795387830637,0.9198464658431803,1.6135877335070314
CAM_WINDOW,T1Ke,T3Ke,T1Ka,3464,-0.25520394805605784,0.7384933195454711,0.9288596226135362,2.156583254411405,6.37922929327766,7.845507999999999,-1.4662787067223384,0.9216290855188523,1.6619989759747054
CAM_WINDOW,T1Kc,T3Kc,T1Ka,3464,-0.286508705236659,0.8673766986275149,1.220807159116891,3.4239752681207207,7.349804213367349,8.261638999999999,-0.9118347866326495,0.8666903537610351,1.6767245524332157
CAM_WINDOW,T1Kb,T3Kc,T1Ka,3464,-0.1716987608665419,0.7566487777551305,0.9626420537263165,2.4142418618426333,6.830621678195655,8.261638999999999,-1.4310173218043438,0.9211164581998463,1.6781507146284884
CAM_WINDOW,T1Kc,T1Ke,T1Ka,3464,-0.19699372844750995,0.5868139539955881,0.8969404345294171,4.121210568569417,7.349804213367349,8.933400999999996,-1.583596786632647,0.9274444337879025,1.6887388278457407
