datetime,model_theta_top,model_theta_mid,model_theta_bot,model_theta_mean,rika_corrected_theta_2cm,rika_raw_theta_2cm,rika_corrected_theta_7cm,rika_raw_theta_7cm
2026-04-01 13:36:00,0.05,0.4530979527114424,0.46583735872953197,0.43458827133328953,0.5488,0.784,0.5012,0.716
2026-04-01 13:37:00,0.05,0.4530395593239708,0.4657980793230081,0.4345286473219749,0.5480999999999999,0.7829999999999999,0.5012,0.716
2026-04-01 13:38:00,0.05,0.4529812419722927,0.46575875403689737,0.4344691582354311,0.5480999999999999,0.7829999999999999,0.5012,0.716
2026-04-01 13:39:00,0.05,0.45292300073884934,0.4657193833376174,0.43440980021729714,0.5474,0.782,0.5012,0.716
2026-04-01 13:40:00,0.05,0.4528648356969293,0.465679967691232,0.43435055892045593,0.5474,0.782,0.5005,0.715
2026-04-01 13:41:00,0.05,0.4528067469109123,0.46564050756339714,0.43429142264783,0.5474,0.782,0.5012,0.716
2026-04-01 13:42:00,0.05,0.45274873443650454,0.46560100341931104,0.43423240614859226,0.5474,0.782,0.5012,0.716
2026-04-01 13:43:00,0.05,0.4526907983209701,0.46556145572365676,0.4341735221511475,0.5480999999999999,0.7829999999999999,0.5012,0.716
2026-04-01 13:44:00,0.05,0.45263293860336,0.4655218649405526,0.4341147336198963,0.5480999999999999,0.7829999999999999,0.5012,0.716
2026-04-01 13:45:00,0.05,0.4525751553147336,0.4654822315335026,0.434056057465506,0.5480999999999999,0.7829999999999999,0.5012,0.716
2026-04-01 13:46:00,0.05,0.45251744847837755,0.46544255596534195,0.4339975033104116,0.5480999999999999,0.7829999999999999,0.5012,0.716
2026-04-01 13:47:00,0.05,0.45245981811002,0.46540283869819027,0.4339390709285368,0.5480999999999999,0.7829999999999999,0.5005,0.715
2026-04-01 13:48:00,0.05,0.45240226421803975,0.4653630801933996,0.4338807571210123,0.5480999999999999,0.7829999999999999,0.5005,0.715
2026-04-01 13:49:00,0.05,0.45234478680367196,0.4653232809115088,0.43382256850991185,0.5480999999999999,0.7829999999999999,0.5005,0.715
2026-04-01 13:50:00,0.05,0.45228738586120687,0.46528344131219207,0.4337644930520735,0.5480999999999999,0.7829999999999999,0.5005,0.715
2026-04-01 13:51:00,0.05,0.4522300613781896,0.4652435618542143,0.43370652872298765,0.5480999999999999,0.7829999999999999,0.5005,0.715
2026-04-01 13:52:00,0.05,0.4521728133356104,0.46520364299538375,0.43364868476072865,0.5474,0.782,0.5005,0.715
2026-04-01 13:53:00,0.05,0.4521156417080917,0.46516368519250634,0.43359096487042553,0.5474,0.782,0.5005,0.715
2026-04-01 13:54:00,0.05,0.4520585464640769,0.46512368890134065,0.43353335833537476,0.5459999999999999,0.78,0.5005,0.715
2026-04-01 13:55:00,0.05,0.45200152756600204,0.4650836545765551,0.4334758403203334,0.5446,0.778,0.5005,0.715
2026-04-01 13:56:00,0.05,0.4519445849704792,0.4650435826716823,0.43341842796244084,0.5425,0.775,0.4998,0.7140000000000001
2026-04-01 13:57:00,0.05,0.45188771862846516,0.4650034736390795,0.43336113043135116,0.5404,0.772,0.4998,0.7140000000000001
