datetime,model_theta_top,model_theta_mid,model_theta_bot,model_theta_mean,j_eva,j_pr,G_sol,rika_corrected_theta_2cm,rika_raw_theta_2cm,rika_corrected_theta_7cm,rika_raw_theta_7cm
2026-03-31 12:40:00,0.5116676839300778,0.5020644160560219,0.46554548200944085,0.49664902214666534,0.00011461014746246993,0.0,482.0,0.543896875,0.7769955357142857,0.46129416666666667,0.6589916666666666
2026-03-31 12:41:00,0.5113997232986737,0.5020237157171535,0.4656842155726459,0.4965777650003186,9.953792102544339e-05,0.0,814.0,0.5438999999999999,0.777,0.46060583333333327,0.6580083333333333
2026-03-31 12:42:00,0.5112445361764089,0.5019799948311743,0.46582627223503886,0.49651333701742095,0.0001083508806291264,0.0,814.0,0.5445941666666667,0.7779916666666666,0.4613,0.659
2026-03-31 12:43:00,0.5116540482946952,0.5019333387591565,0.4659715266471923,0.4964637379752083,5.1507682936317415e-05,0.0,267.0,0.5438999999999999,0.777,0.4613,0.659
2026-03-31 12:44:00,0.5120929014784619,0.5018838273895948,0.46611985206557927,0.4964319379616422,3.628335306876889e-05,0.0,267.0,0.5438999999999999,0.777,0.4605999999999999,0.6579999999999999
2026-03-31 12:45:00,0.5120318979809639,0.50183155180728,0.46627112065217713,0.4963941949866922,2.4007214197475724e-05,0.0,223.0,0.5431999999999999,0.7759999999999999,0.4613,0.659
2026-03-31 12:46:00,0.5118136589162724,0.5017766245619557,0.4664252037698793,0.4963494972920556,2.245337994282647e-05,0.0,197.0,0.5438999999999999,0.777,0.4605999999999999,0.6579999999999999
2026-03-31 12:47:00,0.5116465681488086,0.5017191816726612,0.466581972273401,0.49630477946287255,2.640788344692506e-05,0.0,185.0,0.5431999999999999,0.7759999999999999,0.4605999999999999,0.6579999999999999
2026-03-31 12:48:00,0.5107294421992775,0.5016593792382572,0.4667412967949826,0.4962427113802841,6.819047230529067e-05,0.0,185.0,0.5418,0.774,0.4605999999999999,0.6579999999999999
2026-03-31 12:49:00,0.5096973891849681,0.5015973891099226,0.4669030480238467,0.4961576024095867,5.9355957875747664e-05,0.0,176.0,0.5411,0.773,0.4605999999999999,0.6579999999999999
2026-03-31 12:50:00,0.5094638557894272,0.5015333959748776,0.4670670969780357,0.49608577484930716,4.927650607745532e-05,0.0,176.0,0.5404,0.772,0.4605999999999999,0.6579999999999999
2026-03-31 12:51:00,0.5101188934629179,0.5014675947738798,0.4672333152670484,0.49604685268283527,2.643400628354571e-05,0.0,174.0,0.5389999999999999,0.77,0.4605999999999999,0.6579999999999999
2026-03-31 12:52:00,0.5098276104578475,0.5014001864701108,0.4674015753435436,0.49600534726638773,0.00015330995457575394,0.0,178.0,0.5383,0.769,0.4605999999999999,0.6579999999999999
2026-03-31 12:53:00,0.509090884731673,0.5013313716472683,0.4675717507424452,0.49594093796134814,0.0001614890622865734,0.0,188.0,0.5376,0.768,0.4599,0.657
2026-03-31 12:54:00,0.5081581708743668,0.5012613421981028,0.4677437163059085,0.4958651692036317,0.00021762639211726992,0.0,213.0,0.5368999999999999,0.767,0.4599,0.657
2026-03-31 12:55:00,0.5074189098804859,0.5011902722708167,0.4679173483929454,0.4957837350313452,0.00021249299069996385,0.0,213.0,0.5361999999999999,0.7659999999999999,0.4613,0.659
2026-03-31 12:56:00,0.5066991314458401,0.5011183119346129,0.4680925250728423,0.49570046128157447,0.00022598691515107194,0.0,255.0,0.5361999999999999,0.7659999999999999,0.4605999999999999,0.6579999999999999
2026-03-31 12:57:00,0.5059905489814394,0.5010455869390339,0.4682691263019771,0.49561422107730274,0.00023254028602177201,0.0,248.0,0.5361999999999999,0.7659999999999999,0.4599,0.657
2026-03-31 12:58:00,0.5059531005281341,0.5009722034379042,0.46844703408403043,0.495540211547774,0.00012318191656607758,0.0,248.0,0.5361999999999999,0.7659999999999999,0.4599,0.657
2026-03-31 12:59:00,0.5051860567221989,0.50089825283969,0.46862613261398967,0.4954626950710321,0.00023904365665476836,0.0,272.0,0.5368999999999999,0.767,0.4599,0.657
2026-03-31 13:00:00,0.5042120517572332,0.5008238133893522,0.46880630840663706,0.4953686030673504,0.0002661713257460469,0.0,318.0,0.5355,0.765,0.4599,0.657
2026-03-31 13:01:00,0.5028005585403597,0.5007489487920144,0.46898745041043255,0.49525489256782024,0.0002403267548533926,0.0,770.0,0.5361999999999999,0.7659999999999999,0.4591999999999999,0.6559999999999999
2026-03-31 13:02:00,0.5014094433589219,0.5006737061580584,0.46916945010784256,0.4951300377149867,0.0002950772052033804,0.0,772.0,0.5376,0.768,0.4599,0.657
2026-03-31 13:03:00,0.5006881399815262,0.5005981152830133,0.4693522016031692,0.49501026854489527,0.00017986674803622787,0.0,712.0,0.5389999999999999,0.77,0.4591999999999999,0.6559999999999999
2026-03-31 13:04:00,0.49976578799073024,0.5005221902303091,0.46953560169891234,0.4948931710063243,0.00020443763257865178,0.0,793.0,0.5396999999999998,0.7709999999999999,0.4599,0.657
2026-03-31 13:05:00,0.4986676451764821,0.5004459326099987,0.4697195499615657,0.4947664419429364,0.0002110849327080165,0.0,793.0,0.5404,0.772,0.4599,0.657
2026-03-31 13:06:00,0.4977467525796316,0.5003693344420029,0.46990394877758657,0.4946391945299571,0.00020291450605566146,0.0,798.0,0.5411,0.773,0.46199999999999997,0.66
2026-03-31 13:07:00,0.49676922526096406,0.5002923788425656,0.47008870340012987,0.4945109684058311,0.00021772555499567563,0.0,824.0,0.5411,0.773,0.46199999999999997,0.66
2026-03-31 13:08:00,0.49594383755844185,0.500215038709802,0.4702737219869368,0.49438212522073216,0.00020551369333559819,0.0,795.0,0.5418,0.774,0.4599,0.657
2026-03-31 13:09:00,0.4950134370287011,0.5001372752864792,0.4704589156296825,0.494252153561616,0.0002169516172447577,0.0,768.0,0.5418,0.774,0.4599,0.657
2026-03-31 13:10:00,0.4935180939973327,0.5000590383777189,0.47064419837495663,0.49410699573304945,0.00012604033268708237,0.0,763.0,0.5418,0.774,0.4605999999999999,0.6579999999999999
2026-03-31 13:11:00,0.49311848932567814,0.49998026839741566,0.4708294872370086,0.4939706133405844,8.408329593085389e-05,0.0,434.0,0.5411,0.773,0.4599,0.657
2026-03-31 13:12:00,0.4939332099728483,0.4999008993722972,0.4710147022023556,0.4938808245361351,0.00011783096010871568,0.0,434.0,0.5404,0.772,0.4591999999999999,0.6559999999999999
2026-03-31 13:13:00,0.4929036627124095,0.49982086214237853,0.4711997662263497,0.49377763398147223,0.00040213974244623875,0.0,700.0,0.5404,0.772,0.4591999999999999,0.6559999999999999
2026-03-31 13:14:00,0.49150619351666425,0.499740087357841,0.4713846052218086,0.4936355923071408,0.0002341085845101212,0.0,830.0,0.5404,0.772,0.4591999999999999,0.6559999999999999
2026-03-31 13:15:00,0.4905417083501075,0.4996585079946009,0.4715691480398558,0.4935019740148228,0.00033528288657227155,0.0,791.0,0.5404,0.772,0.4591999999999999,0.6559999999999999
2026-03-31 13:16:00,0.48973337198401345,0.4995760610628942,0.47175332644316054,0.49336558579331574,0.0002146136350685709,0.0,817.0,0.5411,0.773,0.4599,0.657
2026-03-31 13:17:00,0.48895427044679535,0.49949268879892283,0.47193707507182014,0.4932332875281356,0.0002206247033920038,0.0,824.0,0.5411,0.773,0.4599,0.657
2026-03-31 13:18:00,0.48811124807612694,0.4994083406538159,0.47212033140217974,0.49309844017531135,0.00022321820939601533,0.0,833.0,0.5411,0.773,0.4599,0.657
2026-03-31 13:19:00,0.4872871771727558,0.49932297640189327,0.4723030356989272,0.49296257937210813,0.00022359589675237547,0.0,833.0,0.5411,0.773,0.4599,0.657
2026-03-31 13:20:00,0.4863993507820495,0.4992365684232793,0.4724851309608481,0.49282435828487475,0.00022875908821193335,0.0,814.0,0.5411,0.773,0.4591999999999999,0.6559999999999999
2026-03-31 13:21:00,0.4855445664609532,0.4991491014156123,0.4726665628606667,0.4926852418108113,0.0001702889259738283,0.0,803.0,0.5404,0.772,0.4591999999999999,0.6559999999999999
2026-03-31 13:22:00,0.48493139268092467,0.4990605699400134,0.4728472796794306,0.49254966935189687,0.00021180167307103908,0.0,784.0,0.5404,0.772,0.4591999999999999,0.6559999999999999
2026-03-31 13:23:00,0.48437995962903924,0.49897097536760016,0.4730272322359397,0.4924192343448385,0.00020903663703349899,0.0,761.0,0.5404,0.772,0.4599,0.657
2026-03-31 13:24:00,0.4833888028832011,0.49888032340158195,0.4732063738117813,0.49228113130553036,0.00012886822708520256,0.0,726.0,0.5404,0.772,0.4591999999999999,0.6559999999999999
2026-03-31 13:25:00,0.48185926319471184,0.49878862248952,0.47338466007255164,0.4921233045634916,0.00011296432184059943,0.0,726.0,0.5404,0.772,0.4599,0.657
2026-03-31 13:26:00,0.4802467677190024,0.4986958829321229,0.47356204898591087,0.49195286673526095,0.00011165288105476707,0.0,726.0,0.5396999999999998,0.7709999999999999,0.4599,0.657
2026-03-31 13:27:00,0.4807746764457605,0.4986021164132016,0.47373850073714413,0.49181826865926853,5.660809008185073e-05,0.0,207.0,0.5389999999999999,0.77,0.4591999999999999,0.6559999999999999
2026-03-31 13:28:00,0.4824608011892987,0.49850733582248347,0.47391397764293913,0.49174430805961883,5.94559179032996e-05,0.0,130.0,0.5376,0.768,0.4591999999999999,0.6559999999999999
2026-03-31 13:29:00,0.4836614288876887,0.49841155537526005,0.4740884440641095,0.49168745910100325,3.9730879387510924e-05,0.0,130.0,0.5361999999999999,0.7659999999999999,0.4591999999999999,0.6559999999999999
2026-03-31 13:30:00,0.4844571638203347,0.49831479087227537,0.47426186631800965,0.4916338274802752,4.418825337467276e-05,0.0,116.0,0.5347999999999999,0.764,0.4591999999999999,0.6559999999999999
2026-03-31 13:31:00,0.48519880503737806,0.498217059602635,0.4744342125913579,0.49158684720860274,4.8526021082675796e-05,0.0,111.0,0.5319999999999999,0.76,0.45849999999999996,0.655
2026-03-31 13:32:00,0.48587753932778444,0.4981183795020358,0.4746054528541797,0.4915453105876338,5.9736094493484765e-05,0.0,111.0,0.5319999999999999,0.76,0.4578,0.654
2026-03-31 13:33:00,0.48639649965876747,0.4980187681159968,0.4747755587754936,0.49150615637023126,6.361981445755118e-05,0.0,105.0,0.5319999999999999,0.76,0.4571,0.653
2026-03-31 13:34:00,0.4868588317129193,0.4979182429457936,0.4749445036413081,0.49146866468258127,5.838028063345103e-05,0.0,104.0,0.5319999999999999,0.76,0.4571,0.653
2026-03-31 13:35:00,0.4872035845240808,0.4978168243952394,0.47511226227539455,0.49143191739856634,6.070920910783111e-05,0.0,102.0,0.5313,0.759,0.4571,0.653
2026-03-31 13:36:00,0.4875185724452328,0.49771454080483474,0.475278810963186,0.4913957306732238,5.680495159092073e-05,0.0,102.0,0.5326999999999998,0.7609999999999999,0.4564,0.652
2026-03-31 13:37:00,0.48781961566064636,0.49761143373811484,0.47544412737907754,0.49136134349724503,5.464175654367254e-05,0.0,102.0,0.5326999999999998,0.7609999999999999,0.4578,0.654
2026-03-31 13:38:00,0.4879904952690713,0.49750756178197897,0.47560819051728376,0.49132598230376445,5.954097119960784e-05,0.0,102.0,0.5326999999999998,0.7609999999999999,0.4567540384615384,0.6525057692307692
2026-03-31 13:39:00,0.48814589489668697,0.4974030020455179,0.4757709806263308,0.4912899865843456,5.731842730169366e-05,0.0,102.0,0.5326999999999998,0.7609999999999999,0.4557080769230768,0.6510115384615384
2026-03-31 13:40:00,0.4883361772655333,0.4972978494043757,0.47593247914720743,0.4912556527057945,5.3918414162359994e-05,0.0,102.0,0.5326999999999998,0.7609999999999999,0.4556999999999999,0.6509999999999999
2026-03-31 13:41:00,0.488599562325144,0.4971922140105509,0.47609266865511457,0.4912245427643874,4.674872600947707e-05,0.0,100.0,0.5326999999999998,0.7609999999999999,0.45500583333333333,0.6500083333333333
2026-03-31 13:42:00,0.48893683865511034,0.4970862177332193,0.47625153280472604,0.49119785815068273,3.78666621372704e-05,0.0,100.0,0.5326941666666665,0.7609916666666665,0.45569416666666657,0.6509916666666666
2026-03-31 13:43:00,0.4891449690732182,0.4969799901565159,0.47640905627883706,0.4911719706648698,4.314447503147417e-05,0.0,100.0,0.5319999999999999,0.76,0.45639416666666666,0.6519916666666667
